Conc,Temp
0.28001,395.14
0.27335,394.43
0.28057,395.02
0.2748,394.81
0.2765,394.88
0.27632,395.34
0.27101,394.04
0.28349,394.15
0.28269,393.82
0.28612,393.85
0.28658,394.36
0.2815,394.56
0.27953,395.01
0.27508,395.17
0.27265,394.34
0.28097,394.57
0.27879,394.3
0.28102,394
0.28464,394.25
0.28263,394.62
0.27881,394.76
0.27732,394.96
0.27527,395.01
0.27486,395.19
0.27248,394.46
0.27964,394.5
0.27969,394.58
0.27874,394.38
0.28052,394.29
0.2817,394.34
0.28142,394.57
0.27883,394.23
0.28266,394.79
0.2778,395.72
0.26827,395.5
0.26958,395.15
0.27271,394.74
0.27651,394.28
0.24408,394.66
0.24105,396.52
0.22402,397.92
0.21095,397.26
0.21372,395.28
0.22729,393.24
0.24482,392.05
0.25516,390.97
0.26876,391.16
0.26982,391.87
0.2655,393.15
0.25286,393.81
0.24545,393.86
0.24476,394.03
0.24338,394.22
0.24016,393.57
0.24524,393.09
0.2498,392.83
0.25254,392.69
0.25415,392.67
0.29497,392.53
0.2953,390.62
0.31371,389.82
0.32631,390.21
0.32907,392.64
0.30302,395.26
0.27432,397.6
0.25064,398.45
0.24247,397.87
0.24709,395.85
0.26396,394.11
0.28008,392.74
0.29516,392.42
0.30039,392.75
0.29921,394.08
0.2855,394.91
0.2768,395.89
0.2668,396.27
0.26239,395.13
0.27241,394.68
0.23981,394.22
0.24563,396.33
0.2255,397.25
0.21591,396.36
0.22096,394.85
0.2322,393.42
0.24302,391.94
0.25711,391.24
0.26615,391.29
0.26825,391.9
0.26471,393
0.2528,393.07
0.25401,394.24
0.24228,394.39
0.24007,394.45
0.23963,394.6
0.23628,393.54
0.24466,392.87
0.25193,392.76
0.25222,392.25
0.25675,391.95
0.26095,392.14
0.26165,393.02
0.25284,393.27
0.25037,393.6
0.24681,393.63
0.24675,393.8
0.24322,392.98
0.25106,392.9
0.25175,392.63
0.2549,392.75
0.25391,392.76
0.25452,393.07
0.25287,393.73
0.24572,393.63
0.24642,393.71
0.24533,393.55
0.24715,393.66
0.24568,393.49
0.24685,393.26
0.28986,393.29
0.28743,390.53
0.31319,389.58
0.32951,390.25
0.32755,392.21
0.30719,394.45
0.28296,396.96
0.25694,398.14
0.24546,397.65
0.24906,395.9
0.2636,394.14
0.28005,392.89
0.29289,392.09
0.30292,392.24
0.3046,393.64
0.29001,394.41
0.28195,395.54
0.27048,396.32
0.26238,396.05
0.26396,395
0.23676,394.89
0.23865,396.61
0.22246,396.87
0.21869,396.18
0.22202,394.38
0.23625,393.2
0.24521,391.8
0.25911,391.32
0.26564,391.35
0.26736,391.84
0.26432,392.62
0.25767,393.48
0.2501,394.38
0.24068,394.4
0.23972,394.36
0.23952,394.06
0.24163,393.69
0.24393,393.01
0.24883,392.19
0.25949,392.7
0.25382,392.36
0.2593,393.2
0.25099,393.37
0.25042,394.13
0.24281,394.27
0.2398,393.65
0.24497,393.34
0.24873,393.43
0.24677,392.86
0.25069,392.2
0.25902,392.56
0.25561,392.53
0.25635,392.78
0.25364,392.73
0.25528,393.23
0.25037,393.35
0.24946,393.63
0.24642,393.57
0.24623,393.34
0.24849,393.32
0.28731,392.6
0.29363,390.6
0.3128,389.51
0.32919,389.91
0.33173,392.09
0.30967,395.15
0.27562,397.65
0.24979,399.09
0.23716,398.14
0.24451,396.34
0.25944,394.26
0.27871,393.01
0.29153,392.13
0.30273,392.37
0.30291,393.58
0.29065,394.53
0.2806,395.37
0.27202,396.1
0.26457,396.25
0.26267,395.92
0.22929,395.1
0.23633,396.54
0.22278,396.74
0.21932,395.74
0.22591,394.44
0.2349,392.75
0.24869,391.48
0.26234,391.17
0.26832,391.56
0.26421,391.49
0.26742,392.41
0.26037,393.55
0.24933,394.3
0.24112,394.29
0.24016,394.02
0.24242,393.81
0.24356,393.36
0.24768,393.12
0.24898,392.55
0.25395,392.18
0.25911,392.43
0.25902,393.29
0.24917,392.95
0.25461,393.98
0.24403,393.95
0.24378,394.02
0.24201,393.54
0.24613,393.28
0.24917,393.31
0.24673,392.35
0.25613,392.25
0.25822,392.35
0.25864,392.83
0.25391,393
0.25169,392.95
0.25216,393
0.25173,393.02
0.25235,393.38
0.24963,393.82
0.24426,393.44
0.24773,393.46
0.24783,393.49
0.24792,393.66
0.2461,393.61
