C,T
0.27806,395.82
0.26756,396.28
0.26262,396.05
0.26414,395.34
0.27034,394.5
0.24339,396.51
0.22371,397.07
0.2171,396.2
0.22203,394.61
0.23361,393.02
0.24699,391.87
0.25846,391.33
0.26558,391.38
0.26725,391.91
0.26376,392.71
0.25678,393.54
0.24894,394.13
0.24285,394.34
0.24007,394.17
0.24074,393.74
0.2439,393.25
0.24811,392.85
0.252,392.63
0.25458,392.61
0.25536,392.76
0.28851,390.61
0.31377,390
0.32585,390.76
0.32188,392.64
0.30273,395.14
0.2755,397.38
0.2527,398.3
0.24395,397.57
0.24959,395.87
0.26393,394.1
0.28041,392.86
0.29378,392.39
0.30052,392.69
0.29912,393.59
0.29057,394.77
0.27845,395.79
0.26782,396.27
0.26267,396.06
0.264,395.36
0.2701,394.53
0.24314,396.53
0.22356,397.07
0.21708,396.19
0.2221,394.59
0.23373,393.01
0.24711,391.86
0.25856,391.32
0.26564,391.38
0.26726,391.91
0.26371,392.72
0.25671,393.55
0.24887,394.14
0.2428,394.35
0.24005,394.17
0.24076,393.74
0.24393,393.25
0.24815,392.85
0.25204,392.63
0.2546,392.61
0.25536,392.76
0.2885,390.62
0.31374,390
0.32583,390.76
0.32186,392.64
0.30272,395.14
0.27551,397.38
0.25272,398.3
0.24397,397.57
0.2496,395.87
0.26393,394.1
0.28041,392.86
0.29377,392.39
0.30051,392.69
0.29911,393.59
0.29057,394.77
0.27846,395.79
0.26783,396.27
0.26268,396.06
0.26401,395.36
0.2701,394.53
0.27801,393.87
0.28486,393.57
0.28861,393.66
0.28839,394.07
0.28467,394.63
0.27914,395.12
0.27404,395.38
0.2712,395.33
0.27131,395.04
0.27385,394.65
0.27756,394.31
0.28099,394.14
0.28304,394.16
0.28318,394.34
0.28161,394.59
0.27907,394.84
0.27661,394.97
0.27509,394.97
0.27492,394.85
0.27596,394.67
0.27767,394.5
0.27936,394.41
0.28045,394.4
0.28065,394.48
0.28,394.6
0.27885,394.71
0.27766,394.79
0.27687,394.8
0.27669,394.75
0.2771,394.66
0.27788,394.58
0.27869,394.53
0.27926,394.52
0.27942,394.55
0.27917,394.61
0.27865,394.66
0.27808,394.7
0.27767,394.71
0.27754,394.69
0.2777,394.65
0.27804,394.61
0.27844,394.59
0.27873,394.58
0.27883,394.59
0.27874,394.62
0.27851,394.64
0.27824,394.66
0.27803,394.67
0.27795,394.66
0.278,394.65
0.27816,394.63
0.27834,394.61
0.27849,394.61
0.27855,394.61
0.27852,394.62
0.27842,394.64
0.27829,394.65
0.27819,394.65
0.27814,394.65
0.27816,394.64
0.27822,394.63
0.27831,394.62
0.27838,394.62
0.27842,394.62
0.27841,394.63
0.27837,394.63
0.27831,394.64
0.27826,394.64
0.27823,394.64
0.27823,394.64
0.27826,394.63
0.2783,394.63
0.27834,394.63
0.27836,394.63
0.27836,394.63
0.27834,394.63
0.27831,394.64
0.27829,394.64
0.27827,394.64
0.27827,394.64
0.2431,397.36
0.21687,398.2
0.20818,397.08
0.21457,395.02
0.22919,392.99
0.24591,391.55
0.26025,390.87
0.26934,390.91
0.27174,391.55
0.26765,392.54
0.259,393.58
0.24904,394.36
0.24119,394.65
0.23754,394.44
0.2383,393.9
0.24223,393.28
0.24751,392.77
0.25241,392.49
0.2557,392.46
0.25677,392.64
0.28977,390.55
0.3146,390
0.32608,390.81
0.32143,392.73
0.30173,395.25
0.27438,397.45
0.25199,398.31
0.24388,397.52
0.25002,395.79
0.26459,394.03
0.28106,392.82
0.29423,392.39
0.30065,392.71
0.29893,393.63
0.29013,394.82
0.27795,395.83
0.26747,396.28
0.26258,396.04
0.26416,395.33
0.2704,394.5
0.24346,396.5
0.22377,397.07
0.21713,396.2
0.22203,394.61
0.23359,393.02
0.24696,391.87
0.25843,391.33
0.26556,391.38
0.26725,391.91
0.26376,392.71
0.25679,393.54
0.24896,394.13
0.24286,394.34
0.24008,394.17
0.24074,393.75
0.24389,393.25
0.2481,392.85
0.25199,392.63
0.25457,392.61
0.25535,392.76
0.25444,393.01
0.25238,393.27
0.24997,393.47
0.24798,393.55
0.24693,393.52
0.24694,393.4
0.24779,393.25
