C,T
2.471163E-01,3.933291E+02
2.490205E-01,3.932105E+02
2.496305E-01,3.931497E+02
2.498679E-01,3.930935E+02
2.504851E-01,3.930471E+02
2.50722E-01,3.930158E+02
2.512202E-01,3.930047E+02
2.512444E-01,3.930144E+02
2.519885E-01,3.930765E+02
2.50713E-01,3.931489E+02
2.51027E-01,3.932216E+02
2.491095E-01,3.932496E+02
2.487238E-01,3.931675E+02
2.501202E-01,3.930889E+02
2.507758E-01,3.930703E+02
2.51831E-01,3.931374E+02
2.501553E-01,3.932119E+02
2.485885E-01,3.93153E+02
2.504221E-01,3.930745E+02
2.51187E-01,3.930867E+02
2.514468E-01,3.931657E+02
2.507142E-01,3.932729E+02
2.487323E-01,3.93298E+02
2.482715E-01,3.932024E+02
2.833099E-01,3.906874E+02
3.110737E-01,3.897445E+02
3.267037E-01,3.902236E+02
3.278532E-01,3.919701E+02
3.110757E-01,3.946472E+02
2.826334E-01,3.97496E+02
2.517233E-01,3.991638E+02
2.367215E-01,3.987199E+02
2.399414E-01,3.967811E+02
2.560071E-01,3.945752E+02
2.749539E-01,3.928994E+02
2.930186E-01,3.921095E+02
3.030373E-01,3.922684E+02
3.022885E-01,3.931068E+02
2.960564E-01,3.943521E+02
2.824878E-01,3.955996E+02
2.701304E-01,3.963444E+02
2.616763E-01,3.96313E+02
2.624414E-01,3.956732E+02
2.672454E-01,3.948168E+02
2.409302E-01,3.967495E+02
2.216845E-01,3.971971E+02
2.154312E-01,3.961651E+02
2.219388E-01,3.944393E+02
2.339814E-01,3.92769E+02
2.486053E-01,3.915843E+02
2.608203E-01,3.910722E+02
2.675935E-01,3.911822E+02
2.686995E-01,3.917551E+02
2.644643E-01,3.925638E+02
2.57051E-01,3.933278E+02
2.508022E-01,3.938869E+02
2.448463E-01,3.941416E+02
2.419301E-01,3.940516E+02
2.408852E-01,3.936587E+02
2.442637E-01,3.931383E+02
2.484086E-01,3.926963E+02
2.542853E-01,3.925167E+02
2.560962E-01,3.926301E+02
2.565167E-01,3.929473E+02
2.535748E-01,3.933494E+02
2.504953E-01,3.937034E+02
2.457382E-01,3.938535E+02
2.434115E-01,3.936938E+02
2.442763E-01,3.933396E+02
2.486377E-01,3.930479E+02
2.52873E-01,3.930425E+02
2.513878E-01,3.931796E+02
2.515722E-01,3.933456E+02
2.495553E-01,3.935233E+02
2.485352E-01,3.936562E+02
2.458407E-01,3.93663E+02
2.460063E-01,3.935301E+02
2.459904E-01,3.933101E+02
2.48881E-01,3.93107E+02
2.51119E-01,3.930533E+02
2.522486E-01,3.93152E+02
2.518673E-01,3.933639E+02
2.487503E-01,3.935228E+02
2.476994E-01,3.935574E+02
2.470139E-01,3.935154E+02
2.484613E-01,3.934919E+02
2.48053E-01,3.935088E+02
2.470202E-01,3.934516E+02
2.478411E-01,3.933444E+02
2.476565E-01,3.931954E+02
2.493505E-01,3.930318E+02
2.512583E-01,3.929588E+02
2.522516E-01,3.929974E+02
2.514899E-01,3.930734E+02
2.511802E-01,3.931437E+02
2.528578E-01,3.933491E+02
2.495218E-01,3.93601E+02
2.464204E-01,3.936594E+02
2.446227E-01,3.934721E+02
2.461595E-01,3.931442E+02
2.486494E-01,3.928225E+02
2.541333E-01,3.927331E+02
2.555128E-01,3.929589E+02
2.535086E-01,3.933093E+02
2.504454E-01,3.936253E+02
2.467976E-01,3.937791E+02
2.441939E-01,3.936746E+02
2.449718E-01,3.933932E+02
2.467349E-01,3.930642E+02
2.506797E-01,3.928373E+02
2.531424E-01,3.928106E+02
2.544897E-01,3.92978E+02
2.517862E-01,3.931817E+02
2.50747E-01,3.933219E+02
2.477968E-01,3.933279E+02
2.477671E-01,3.931713E+02
2.506273E-01,3.930725E+02
2.512152E-01,3.930964E+02
2.513193E-01,3.931763E+02
2.497842E-01,3.932283E+02
2.487801E-01,3.931719E+02
2.49784E-01,3.930795E+02
2.504031E-01,3.930136E+02
2.500628E-01,3.929155E+02
2.869015E-01,3.905123E+02
3.145765E-01,3.897937E+02
3.279293E-01,3.905415E+02
3.238616E-01,3.924382E+02
3.052826E-01,3.950165E+02
2.761312E-01,3.973423E+02
2.525352E-01,3.982533E+02
2.451259E-01,3.975657E+02
2.497525E-01,3.959529E+02
2.63727E-01,3.942496E+02
2.784058E-01,3.929922E+02
2.925649E-01,3.924424E+02
2.987834E-01,3.926108E+02
2.992051E-01,3.933297E+02
2.936676E-01,3.944477E+02
2.827621E-01,3.956556E+02
2.694873E-01,3.96437E+02
2.611689E-01,3.964191E+02
2.616127E-01,3.957868E+02
2.666718E-01,3.949397E+02
2.395894E-01,3.968593E+02
2.199763E-01,3.97174E+02
2.164342E-01,3.960812E+02
2.235137E-01,3.944651E+02
2.35653E-01,3.929929E+02
2.488246E-01,3.920322E+02
2.582423E-01,3.916639E+02
2.615503E-01,3.917085E+02
2.64493E-01,3.921105E+02
2.626906E-01,3.928594E+02
2.567828E-01,3.937433E+02
2.482743E-01,3.944665E+02
2.415203E-01,3.948186E+02
