T1(k+1),T2(k+1)
72.786,69.294
72.083,67.703
72.7,68.783
73.544,69.251
73.195,70.023
72.664,69.328
72.001,67.79
71.354,67.167
71.932,68.339
72.969,70.254
73.224,70.203
73.062,70.253
72.381,68.546
72.154,68.671
73.159,69.985
74.296,70.351
74.652,69.813
74.538,68.687
74.524,68.695
74.62,69.468
74.392,70.187
74.828,70.683
75.386,70.684
75.598,70.354
75.05,69.679
74.742,70.663
74.487,70.622
74.713,70.989
74.749,69.956
74.942,69.802
75.12,70.009
75.524,71.02
75.811,71.832
75.802,70.841
75.899,70.776
75.308,69.613
75.01,69.964
74.82,70.024
74.872,70.911
74.44,70.28
74.666,70.141
75.177,69.397
75.127,69.16
75.098,68.718
75.457,70.24
75.521,70.911
75.67,70.146
75.724,70.043
75.333,69.396
75.265,68.494
75.425,69.511
75.249,69.667
74.953,69.111
75.131,69.901
74.828,69.609
74.747,69.141
75.577,68.915
76.062,70.467
76.008,70.292
75.581,69.412
74.841,69.4
74.459,68.554
74.967,68.478
75.082,69.112
74.869,69.39
74.945,70.629
75.19,70.19
75.677,70.723
75.994,70.464
76.289,69.861
75.986,70.533
75.187,70.483
74.626,69.96
74.627,69.866
75.012,69.816
75.375,69.736
75.808,70.053
76.693,71.476
76.554,71.542
76.144,70.962
76.541,70.371
77.54,70.597
77.876,72.293
77.565,72.286
77.003,72.171
76.327,70.992
76.037,69.962
76.581,71.229
77.707,71.727
78.725,71.716
79.259,72.789
79.102,72.369
78.549,71.226
77.762,71.486
77.438,71.076
78.001,70.887
78.748,70.666
78.706,70.595
78.882,72.074
79.123,72.095
79.192,72.533
79.458,71.509
79.258,70.969
78.905,71.85
79.107,71.618
79.5,70.824
79.707,70.248
78.927,69.882
78.78,71.316
79.226,71.862
79.011,71.416
79.545,71.679
79.496,71.185
79.778,71.595
79.744,71.259
80.21,71.725
80.334,70.988
79.742,70.323
79.105,70.175
79.634,70.488
81.279,70.929
81.397,71.165
80.369,71.366
79.96,70.764
79.892,70.436
80.47,71.969
81.113,72.23
81.644,72.507
81.35,71.522
80.321,70.737
78.856,70.988
78.22,72.087
77.936,72.254
78.434,72.742
79.128,72.784
