T1,T2
318.37,323.85
318.27,323.87
318.17,323.88
318.07,323.89
317.99,323.89
317.9,323.9
317.83,323.9
317.75,323.89
317.68,323.89
317.62,323.88
317.55,323.46
317.47,323.05
317.39,322.67
317.29,322.31
317.19,321.96
317.09,321.63
316.98,321.32
316.87,321.02
316.75,320.74
316.64,320.47
316.52,320.21
316.4,319.96
316.27,319.73
316.15,319.5
316.03,319.28
315.91,319.07
315.79,318.87
315.67,318.68
315.55,318.49
315.43,318.31
315.31,318.14
315.2,317.97
315.08,317.81
314.97,317.66
314.86,317.51
314.75,317.37
314.64,317.23
314.53,317.09
314.43,316.96
314.33,316.84
314.23,317.14
314.15,317.41
314.09,317.68
314.03,317.92
313.99,318.15
313.95,318.36
313.92,318.56
313.9,318.75
313.89,318.93
313.88,319.1
313.88,319.26
313.88,319.41
313.89,319.55
313.9,319.68
