H1,H2,H3,H4
20.885,19.677,8.8101,7.2537
20.951,19.843,8.9094,7.3401
21.218,20.083,9.133,7.4225
20.841,19.952,8.6436,7.1841
20.924,20.093,8.7506,7.3672
20.965,20.315,8.7874,7.4897
21.229,20.556,8.7404,7.5651
21.287,20.554,8.9294,7.5343
20.82,20.321,8.7377,7.0306
21.068,20.292,9.011,6.8855
20.95,19.945,8.5851,6.7527
21.154,20.061,8.5483,6.7012
21.279,20.102,8.7045,6.9147
20.874,19.794,8.3647,6.6953
20.481,19.413,8.2192,6.4522
20.745,19.616,8.5228,6.525
21.01,19.756,8.9567,6.678
20.687,19.339,8.7767,6.566
20.517,19.038,8.3414,6.4447
20.691,19.187,8.4664,6.533
20.803,19.242,8.6869,6.7495
20.882,19.222,8.9914,6.8225
20.665,18.806,8.6104,6.53
20.216,18.496,8.1756,6.3407
19.786,18.432,7.9015,6.2393
19.728,17.947,7.5352,6.1084
19.859,18.032,7.9721,6.4095
19.862,17.625,7.9276,6.0624
20.009,17.954,8.2144,6.2397
19.781,17.775,7.9851,6.053
20.059,18.089,8.2443,6.3832
19.794,17.754,7.732,6.3588
19.897,18.017,7.9801,6.5103
19.778,17.896,7.8953,6.3069
19.867,18.023,8.1884,6.595
20.149,18.209,8.1858,6.6686
19.834,17.892,7.9308,6.392
20.083,18.171,8.1625,6.5954
20.344,18.311,8.4063,6.6993
20.438,18.487,8.7539,6.795
20.264,18.042,8.3279,6.5485
20.108,17.797,8.0042,6.3828
19.722,17.707,7.7736,6.1209
19.489,17.359,7.6081,6.1714
19.221,17.183,7.3346,5.966
18.828,17.022,7.2388,5.7147
18.561,16.895,6.9025,5.6619
18.291,16.772,6.7466,5.7303
17.938,16.472,6.6891,5.8098
17.967,16.788,6.6911,6.1444
17.66,16.767,6.7055,6.1182
17.479,16.636,6.6338,5.9279
17.574,16.934,7.1103,6.2726
18.017,17.362,7.4749,6.3541
17.834,16.963,7.2798,5.9114
17.937,17.152,7.6062,6.0994
18.286,17.329,7.8326,6.2903
18.762,17.557,7.8157,6.5175
19.041,17.786,7.9819,6.7346
19.321,18.213,8.1622,6.8061
19.574,18.562,8.318,6.9464
19.839,18.931,8.4437,7.007
20.161,19.3,8.7294,7.0847
19.978,19.033,8.3578,6.9088
19.828,18.835,8.0775,6.7642
20.071,19.095,8.1999,7.0627
19.83,18.705,8.0849,6.7628
20.051,18.776,8.5376,7.0153
19.741,18.612,8.322,6.6165
19.441,18.443,8.1549,6.2992
19.682,18.501,8.3321,6.5349
19.955,18.639,8.5581,6.7874
20.101,18.858,8.5938,7.0699
20.406,19.099,8.6825,7.1077
20.62,19.13,8.9051,6.9848
21.1,19.384,9.0344,7.0748
21.313,19.71,9.171,6.9322
20.913,19.415,8.7876,6.6729
21.115,19.375,8.695,6.9008
20.861,19.257,8.1896,6.6967
20.473,18.949,7.9894,6.4198
20.175,18.642,7.8547,6.2408
19.809,18.329,7.478,6.2195
19.934,18.427,7.5283,6.5321
19.655,18.265,7.4279,6.2361
19.906,18.463,7.6884,6.4701
20.122,18.695,7.9118,6.7097
19.999,18.902,8.1542,6.7012
20.212,19.282,8.3994,6.8214
20.485,19.301,8.5814,6.8739
20.667,19.606,8.7322,6.851
20.5,19.189,8.4753,6.6101
20.311,18.927,8.2324,6.2833
20.166,18.789,8.0827,6.1186
20.447,18.82,8.3798,6.4168
20.707,19.049,8.6346,6.6913
20.708,18.967,8.7808,6.88
20.357,18.761,8.5536,6.7321
20.183,18.624,8.213,6.6249
19.822,18.465,7.9892,6.4671
19.944,18.557,8.114,6.6704
20.197,18.932,8.423,6.8892
