U1,U2,H1,H2,H3,H4
167.46,172.6,20.121,18.601,8.0725,6.5001
167.46,172.6,20.282,18.76,8.2746,6.652
167.46,172.6,20.451,18.922,8.4516,6.7844
167.46,172.6,20.623,19.085,8.6069,6.9001
167.46,172.6,20.795,19.246,8.7432,7.0012
167.46,172.6,20.965,19.404,8.863,7.0897
137.46,138.6,21.131,19.558,8.9685,7.1672
167.46,172.6,20.858,19.288,8.6208,6.9059
167.46,172.6,21.007,19.431,8.7555,7.0063
167.46,172.6,21.157,19.572,8.8738,7.0941
167.46,172.6,21.305,19.71,8.978,7.1711
167.46,172.6,21.45,19.845,9.0697,7.2385
