H1,H2
21.008,19.092
21.266,19.045
21.227,19.144
21.452,18.957
21.19,19.084
20.949,18.892
20.482,18.354
20.517,18.3
20.273,17.917
19.835,17.877
20.039,18.407
20.295,18.159
20.14,18.433
20.889,18.741
20.555,18.26
20.413,18.308
20.288,18.122
20.619,18.758
20.67,18.446
20.794,18.926
21.008,19.141
21.199,19.222
21.275,19.512
20.771,19.346
21.48,19.386
21.132,19.298
21.506,19.257
21.676,19.327
21.733,19.328
21.56,19.286
21.555,18.659
21.404,19.001
21.148,18.376
20.919,18.272
20.73,18.267
21.036,18.659
21.413,19.006
20.907,18.645
21.083,18.376
20.766,18.35
21.487,18.639
21.294,18.671
20.976,18.849
20.404,18.646
19.78,18.581
19.624,18.133
19.493,18.146
19.77,18.308
19.093,18.081
19.076,18.314
19.413,18.357
19.273,18.043
19.997,17.629
19.493,17.799
19.807,18.048
20.209,18.567
19.766,18.108
19.805,18.321
19.799,18.811
20.423,18.468
20.615,18.446
20.672,18.659
20.17,18.291
20.162,17.946
20.649,18.031
20.273,18.088
19.93,17.938
19.311,17.53
19.44,17.219
19.596,17.726
19.098,17.598
19.027,17.391
19.562,17.376
19.588,17.64
19.763,17.709
19.717,17.341
19.736,17.467
19.636,17.755
19.414,17.714
19.358,17.717
19.257,17.972
19.803,18.05
19.917,18.76
19.667,18.629
19.484,18.542
19.624,18.915
19.299,18.312
19.682,18.386
20.12,18.866
20.073,18.68
19.521,18.722
19.934,18.512
19.386,18.884
19.929,18.367
19.549,18.113
19.767,18.323
20.288,18.646
19.446,18.26
19.866,18.026
19.402,18.036
18.988,17.97
19.07,17.746
19.144,18.021
18.89,18.06
19.182,18.212
18.887,17.878
18.601,17.27
18.637,17.248
18.183,16.747
18.037,16.726
18.427,16.935
18.056,16.921
17.983,16.359
17.975,16.341
18.242,16.765
19.054,16.672
18.386,16.551
18.579,16.42
18.477,16.111
18.059,16.104
18.297,16.119
18.662,16.884
18.936,17.037
19.214,17.196
18.751,16.898
19.085,16.859
19.054,16.991
19.359,17.667
19.228,17.287
19.641,17.724
19.457,17.528
19.678,17.118
19.583,17.436
20.14,17.731
20.13,17.841
19.864,17.881
19.897,18.229
20.25,18.539
20.05,18.753
20.067,18.811
19.804,18.395
20.067,18.766
19.606,18.548
19.651,18.241
19.359,17.67
19.147,17.825
19.653,18.236
19.524,18.586
19.678,18.621
19.47,18.074
19.51,18.3
19.762,18.57
19.784,18.156
19.461,17.75
19.278,17.549
19.062,17.298
18.776,17.215
19.278,17.43
19.56,17.901
20.032,18.286
19.555,17.834
19.915,18.381
19.766,18.088
19.911,17.97
19.893,17.633
20.07,17.723
19.513,17.725
19.703,17.412
19.786,18.052
20.128,17.889
20.199,18.357
19.608,18.495
19.91,18.911
20.493,19.175
20.067,18.872
20.41,18.483
19.534,18.311
19.316,18.403
19.226,17.85
19.226,17.766
18.733,17.346
18.445,16.981
18.945,17.341
19.043,17.44
19.43,17.687
19.399,17.312
19.107,17.19
19.492,17.068
19.305,16.844
19.16,17.471
19.406,17.553
19.8,17.704
19.572,18.005
19.86,18.368
19.693,18.591
20.05,18.618
19.911,18.429
20.211,18.733
20.3,19.045
19.534,18.709
20.394,19.185
19.93,18.722
19.998,18.165
19.299,17.977
19.774,18.035
19.968,18.23
20.003,18.42
20.725,18.677
21.069,19.12
21.212,19.127
20.866,18.947
20.691,18.764
20.911,18.716
20.426,18.66
20.126,18.391
20.163,18.256
20.343,18.473
20.456,18.705
20.003,18.391
20.156,18.784
20.576,18.835
20.754,19.105
20.899,19.134
21.27,19.198
20.617,19.029
21.254,19.075
20.838,18.708
20.458,18.534
20.757,18.56
20.962,18.561
20.791,18.465
20.977,18.609
20.815,18.151
20.321,17.99
20.329,18.122
20.423,18.105
20.578,18.054
21.032,18.498
20.329,18.132
20.131,17.569
19.939,17.915
20.233,17.753
19.667,17.593
19.894,17.983
19.665,17.589
19.383,17.125
19.167,16.688
19.285,17.384
18.923,17
19.134,17.122
19.397,17.37
19.895,17.816
19.615,17.674
19.768,17.523
20.019,17.827
19.86,17.745
19.917,17.552
19.516,17.629
19.52,17.261
19.588,17.569
19.89,17.703
19.672,17.679
19.703,17.418
19.054,17.472
19.142,17.669
19.494,17.827
19.398,17.577
19.098,17.552
19.252,17.663
19.362,17.412
19.295,17.702
19.725,18.026
20.229,18.823
19.867,18.169
19.83,18.475
20.16,18.354
19.937,18.711
20.268,18.796
20.189,18.395
20.561,19.191
20.193,18.771
20.534,19.049
19.876,18.511
19.845,18.3
19.479,18.254
19.437,18.552
20.071,19.019
20.051,18.756
19.746,18.336
19.295,18.52
19.69,18.009
19.583,18.147
19.607,17.986
19.258,17.766
19.283,17.626
18.97,17.385
18.592,17.361
18.846,17.523
19.023,17.522
19.106,17.141
19.288,17.644
19.015,17.646
19.027,17.79
19.105,17.976
19.524,18.42
19.506,18.314
18.941,18.264
18.953,18.405
19.647,18.196
19.697,18.729
19.733,18.873
19.333,18.704
19.923,18.952
19.893,19.194
19.863,18.929
19.538,18.595
19.211,17.923
19.794,18.343
19.988,18.618
19.238,18.17
19.602,18.594
19.865,18.303
19.652,18.603
19.954,18.076
20.026,18.642
20.087,18.581
19.57,18.024
19.401,17.741
19.44,18.12
19.673,17.952
20.113,18.166
19.78,18.016
19.932,18.318
19.485,17.976
19.016,17.637
18.995,17.488
18.838,17.46
19.079,17.715
18.877,18.01
19.007,17.422
19.22,17.845
19.703,17.939
19.452,17.776
19.728,17.735
19.849,18.089
19.526,17.576
19.376,17.733
19.483,17.774
19.881,17.783
19.61,18.052
20.006,18.003
19.711,17.85
19.933,18.415
19.843,17.79
19.3,17.751
19.394,17.961
19.338,17.9
19.153,17.99
19.279,18.113
19.039,17.711
19.465,17.522
19.497,18.04
19.338,17.856
19.723,18.046
19.931,18.263
19.976,18.082
19.572,17.781
19.313,17.715
19.445,17.8
19.16,17.315
19.179,17.005
19.032,17.315
18.893,17.583
18.183,17.079
18.42,17.064
18.719,17.32
18.67,17.053
18.187,16.792
18.548,17.229
18.405,17.524
18.314,17.884
18.428,17.968
18.363,17.472
18.624,17.535
19.232,17.409
18.885,17.551
18.353,17.127
18.848,17.652
19.161,17.633
18.934,17.644
18.818,17.42
18.694,17.542
18.412,17.023
18.586,17.461
18.299,17.317
18.257,17.303
18.181,17.19
18.323,17.255
18.4,17.441
18.14,17.132
18.455,17.202
18.345,17.445
18.348,17.367
18.303,17.482
18.526,17.448
18.523,17.094
18.666,17.388
18.796,17.458
18.995,17.864
18.823,17.679
18.502,16.889
18.033,16.987
18.15,16.942
18.304,16.863
