H1,H2,H3,H4
20.256,18.713,8.1466,6.5535
20.412,18.868,8.3395,6.6986
20.575,19.025,8.5085,6.8251
20.74,19.183,8.6568,6.9356
20.471,18.921,8.347,6.7034
20.628,19.075,8.5151,6.8293
20.789,19.228,8.6626,6.9393
20.951,19.381,8.7922,7.0355
20.675,19.112,8.4659,6.7906
20.826,19.258,8.6194,6.9055
20.978,19.403,8.7542,7.006
21.131,19.547,8.8727,7.0939
21.282,19.688,8.977,7.1708
20.994,19.406,8.6283,6.9091
21.13,19.538,8.7621,7.009
20.833,19.252,8.4394,6.7675
20.964,19.381,8.5962,6.8853
21.1,19.513,8.7338,6.9883
20.803,19.226,8.4146,6.7494
20.498,18.937,8.1348,6.5408
20.628,19.069,8.3291,6.6874
20.768,19.207,8.4994,6.8154
20.477,18.928,8.209,6.5984
20.182,18.649,7.9548,6.4092
20.323,18.793,8.1717,6.5728
20.475,18.942,8.3614,6.7154
20.634,19.095,8.5277,6.8398
20.36,18.83,8.2339,6.6197
20.08,18.563,7.9765,6.4278
19.798,18.299,7.7517,6.2608
19.519,18.039,7.5556,6.1158
19.681,18.205,7.8231,6.3177
19.423,17.961,7.6179,6.1652
19.603,18.141,7.8775,6.3606
19.359,17.909,7.6652,6.2025
19.551,18.098,7.9187,6.393
19.318,17.874,7.7013,6.2306
19.519,18.07,7.9502,6.4174
19.293,17.852,7.7287,6.2518
19.5,18.053,7.9741,6.4359
19.715,18.257,8.1885,6.596
19.497,18.043,7.9369,6.4072
19.707,18.245,8.156,6.5711
19.921,18.447,8.3477,6.7138
20.136,18.646,8.5157,6.8384
19.912,18.424,8.2233,6.6185
19.677,18.196,7.9673,6.4267
19.437,17.967,7.7436,6.2599
19.194,17.74,7.5486,6.115
18.954,17.516,7.3788,5.9894
18.718,17.299,7.2313,5.8806
18.489,17.089,7.1032,5.7866
18.268,16.888,6.9922,5.7054
18.058,16.696,6.8961,5.6354
18.295,16.934,7.25,5.9018
18.114,16.763,7.1195,5.8049
17.937,16.597,7.0063,5.7212
18.201,16.856,7.3455,5.976
18.478,17.121,7.6402,6.1965
18.326,16.969,7.4585,6.06
18.603,17.233,7.7386,6.2693
18.885,17.497,7.9828,6.4511
19.166,17.758,8.1961,6.6093
19.442,18.012,8.3828,6.7472
19.711,18.257,8.5465,6.8676
19.97,18.494,8.6902,6.9728
20.219,18.72,8.8164,7.0648
20.456,18.936,8.9275,7.1454
20.247,18.722,8.5848,6.8868
20.02,18.499,8.2838,6.6607
20.217,18.687,8.4597,6.792
19.978,18.455,8.1743,6.578
20.166,18.638,8.3637,6.7199
19.922,18.402,8.0901,6.5151
19.67,18.164,7.8509,6.3367
19.852,18.345,8.0808,6.5097
20.042,18.53,8.2819,6.6604
20.237,18.715,8.458,6.7918
20.431,18.898,8.6125,6.9065
20.624,19.078,8.7482,7.0068
20.812,19.253,8.8674,7.0946
20.994,19.421,8.9723,7.1715
20.735,19.165,8.6242,6.9096
20.898,19.32,8.7584,7.0096
20.623,19.054,8.4362,6.768
20.34,18.784,8.1537,6.557
20.052,18.514,7.9064,6.3732
19.765,18.247,7.6905,6.2134
19.918,18.405,7.9408,6.4025
19.649,18.153,7.7205,6.2388
19.818,18.323,7.967,6.4246
19.998,18.499,8.1823,6.5862
20.185,18.679,8.3707,6.7271
20.375,18.858,8.5359,6.85
20.564,19.035,8.6809,6.9574
20.751,19.207,8.8082,7.0513
20.498,18.957,8.48,6.8045
20.232,18.701,8.192,6.5889
19.96,18.443,7.9399,6.4009
20.123,18.605,8.1586,6.5656
20.294,18.772,8.35,6.7091
20.47,18.94,8.5178,6.8343
20.212,18.689,8.2251,6.6149
19.946,18.435,7.9689,6.4236
19.678,18.183,7.745,6.2572
19.846,18.352,7.9884,6.4405
20.026,18.528,8.201,6.6001
20.213,18.706,8.3871,6.7392
